stop_reason,stops,success,yield,contraband_discoveries
27150.3(A) VC - EXHAUST W/WHISTLETIP (I) 66577,13,0,0.0,0
38355(A) VC - INADEQUATE BRAKE SYSTEM (I) 54618,13,0,0.0,0
23221(A) VC - ALC/MARIJ IN VEH ON HWY (I) 42124,12,9,0.75,9
11379 HS - TRANSP/ETC CNTL SUB (F) 35139,12,8,0.6667,8
11532(A) HS - LOITR PUBLIC:ILL DRUG ACT (M) 35349 | 11532(A) HS - LOITR PUBLIC:ILL DRUG ACT (M) 35349 | 11532(A) HS - LOITR PUBLIC:ILL DRUG ACT (M) 35349,12,8,0.6667,8
11351 HS - POS/PUR F/SALE NARC/C/SUB (F) 35276 | 11351 HS - POS/PUR F/SALE NARC/C/SUB (F) 35276,12,7,0.5833,7
381(B) PC - POSS SIMILAR TOLUENE SUB (M) 35233,12,7,0.5833,7
11379(A) HS - TRANSP/ETC CNTL SUB (F) 35175,12,6,0.5,6
594(A)(1) PC - VANDALISM:DEFACE PROPERTY (F) 29111 | 594(A)(1) PC - VANDALISM:DEFACE PROPERTY (F) 29111 | 594(A)(1) PC - VANDALISM:DEFACE PROPERTY (F) 29111,12,4,0.3333,4
23223(A) VC - DRIVER POSS OPEN ALC CONT (I) 54581,12,3,0.25,3
182(A)(1) PC - CONSPIRACY:COMMIT CRIME (F) 46028,12,3,0.25,3
3056 PC - VIOLATION OF PAROLE:FEL (F) 50075 | 3056 PC - VIOLATION OF PAROLE:FEL (F) 50075,12,2,0.1667,2
594(B)(1) PC - VANDALISM $400 OR MORE (F) 29143 | 594(B)(1) PC - VANDALISM $400 OR MORE (F) 29143 | 594(B)(1) PC - VANDALISM $400 OR MORE (F) 29143,12,2,0.1667,2
23222(A) VC - POSS OPEN CONTAINER:DRIVE (I) 54090 | 23222(A) VC - POSS OPEN CONTAINER:DRIVE (I) 54090,12,2,0.1667,2
207(A) PC - KIDNAPPING (F) 10016 | 207(A) PC - KIDNAPPING (F) 10016,12,2,0.1667,2
240 PC - ASSAULT ON PERSON (M) 13047,12,1,0.0833,1
978.5 PC - BENCH WARRANT:FTA:FELONY (F) 66099 | 978.5 PC - BENCH WARRANT:FTA:FELONY (F) 66099,12,1,0.0833,1
422(A) PC - THRTN CRIME:INT:TERRORIZE (M) 16048 | 422(A) PC - THRTN CRIME:INT:TERRORIZE (M) 16048,12,1,0.0833,0
24002(B) VC - OPR VEH NOT EQUIPPED REQ (I) 66375,12,1,0.0833,1
646.9(A) PC - STALKING (M) 16005 | 646.9(A) PC - STALKING (M) 16005,12,1,0.0833,1
99170(A)(8) PU - VIOL BICYCLE TRANSIT ORD (I) 31371,12,1,0.0833,0
243(D) PC - BATT W/SERIOUS BODILY INJ (F) 13084 | 243(D) PC - BATT W/SERIOUS BODILY INJ (F) 13084,12,1,0.0833,1
243.4(A) PC - SEXUAL BATT BY RESTRAINT (M) 11113,12,1,0.0833,0
21367(C) VC - FAIL OBEY WARNING DEVICE (I) 54505,12,1,0.0833,0
653.23(A)(2) PC - RECEIVE PROCEED:PROSTITUT (M) 40048,12,1,0.0833,1
16028(C) VC - NO PROOF $ RESP:ACCIDENT (I) 54354,12,0,0.0,0
653X(A) PC - ANNOYING/ETC CALLS TO 911 (M) 53128,12,0,0.0,0
537(A) PC - DEFRAUD INNKEEPER -$950 (M) 26726,12,0,0.0,0
22110(B) VC - INOP SIGNL LAMP:ARM SIGNL (I) 54493,12,0,0.0,0
26451(A) VC - INADEQUATE PARKING BRAKE (I) 54720,12,0,0.0,0
166(C)(4) PC - VIO PROT ORDER:DOMES:W/PR (M) 50125,12,0,0.0,0
22507.8(B) VC - OBSTRUCT/ETC PARKING STAL (I) 66314,12,0,0.0,0
18 2261(A)(1) US - DOMESTC VIOLENCE/STALKING (F) 4059,12,0,0.0,0
647(B)(2) PC - PROSTITUTION PRVD COMPNS (M) 40053,12,0,0.0,0
24603(F) VC - STOPLAMPS VIOL: VISIBLTY (I) 66431,12,0,0.0,0
23153(A) VC - DUI ALCOHOL:CAUSE BOD INJ (F) 42107,11,4,0.3636,4
484(A) PC - THEFT (F) 23098,11,3,0.2727,3
653.23(A)(1) PC - SUPV/ETC PROSTITUTION (M) 40036,11,3,0.2727,3
496D(A) PC - POSS STOLEN VEH/VES/ETC (M) 28036,11,3,0.2727,3
26709(A)(1) VC - REARVIEW MIRROR VIOLATION (I) 66980,11,2,0.1818,0
484(A) PC - GRAND THEFT (F) 23091 | 484(A) PC - GRAND THEFT (F) 23091,11,2,0.1818,2
1203.3 PC - PROBATION REVOKED/ETC (X) 50135,11,1,0.0909,1
245(A)(4) PC - ADW/FORCE:POSSIBLE GBI (F) 13217 | 245(A)(4) PC - ADW/FORCE:POSSIBLE GBI (F) 13217 | 245(A)(4) PC - ADW/FORCE:POSSIBLE GBI (F) 13217,11,1,0.0909,1
640.6(A)(1) PC - GRAFITI:PROP DAMAGE -$250 (I) 66150,11,1,0.0909,1
417(A)(2)(A) PC - EXHBT CONCLD F/ARM IN PUB (M) 52827 | 417(A)(2)(A) PC - EXHBT CONCLD F/ARM IN PUB (M) 52827,11,1,0.0909,1
21452(B) VC - PED FAIL RESPOND SIGNAL (I) 54593,11,1,0.0909,1
243.4(E)(1) PC - SEXUAL BATT:SEX AROUSAL (M) 11084 | 243.4(E)(1) PC - SEXUAL BATT:SEX AROUSAL (M) 11084,11,1,0.0909,1
14 4311(A) CA - CA REG:FIRE NOT IN STOVE (M) 62092,11,1,0.0909,1
978.5 PC - BENCH WARRANT:FTA:MISD (M) 66100 | 978.5 PC - BENCH WARRANT:FTA:MISD (M) 66100,11,1,0.0909,0
242 PC - BAT EMERGENCY PERSON/ETC (F) 13183,11,0,0.0,0
242 PC - BATTERY (F) 13176 | 242 PC - BATTERY (F) 13176,11,0,0.0,0
647(C) PC - BEGGING/SOLICIT ALMS (M) 53154,11,0,0.0,0
4462(A) VC - FAIL PROVIDE VEH REG:PO (I) 54148,11,0,0.0,0
27150.1 VC - SELL/ETC UNLAW EXHAUST (M) 66575,11,0,0.0,0
602(K) PC - TRESP INJ PROP/OBSTR BUS (M) 32138 | 602(K) PC - TRESP INJ PROP/OBSTR BUS (M) 32138,11,0,0.0,0
26101(A) VC - EQUIP MODIFY DEVICE VIOL (I) 66975,11,0,0.0,0
21753 VC - FL YIELD OVERTAKING VEH (I) 66265,11,0,0.0,0
25400(A)(1) PC - CCW IN VEHICLE (M) 52480,10,5,0.5,5
530.5(A) PC - GET CREDIT/ETC OTHER'S ID (F) 44050,10,4,0.4,4
11377(A) HS - POSS CONTROLLED SUBSTANCE (F) 35172 | 11377(A) HS - POSS CONTROLLED SUBSTANCE (F) 35172,10,4,0.4,4
460(A) PC - BURGLARY:FIRST DEGREE (F) 22124,10,3,0.3,3
530 PC - PERSONATE GET MONEY/PROP (F) 44014,10,3,0.3,3
10852 VC - TAMPER WITH VEHICLE (M) 29050 | 10852 VC - TAMPER WITH VEHICLE (M) 29050 | 10852 VC - TAMPER WITH VEHICLE (M) 29050,10,3,0.3,3
496D(A) PC - POSS STOLEN VEH/VES/ETC (F) 28035 | 496D(A) PC - POSS STOLEN VEH/VES/ETC (F) 28035,10,3,0.3,2
148.9(A) PC - GIVE FALSE ID TO PO (M) 47014,10,2,0.2,1
5008.10 PR - SMOKE ON STATE BEACH/PARK (I) 66231,10,2,0.2,2
36 2.30(A)(5) US - FR:POSS KNOW STOLEN PROP (M) 4021,10,2,0.2,2
25608.10 BP - NO ALC BEV:OPEN/CLSD:SPEC (I) 41079,10,2,0.2,2
2800.1(A) VC - EVADING PEACE OFFICER (M) 48102,10,2,0.2,0
11550(A) HS - UNDER INFLUENCE CNTL SUB (M) 35212 | 11550(A) HS - UNDER INFLUENCE CNTL SUB (M) 35212 | 11550(A) HS - UNDER INFLUENCE CNTL SUB (M) 35212,10,2,0.2,2
288(A) PC - L&L W/CHILD UNDER 14 (F) 36055 | 288(A) PC - L&L W/CHILD UNDER 14 (F) 36055,10,1,0.1,1
236 PC - FALSE IMPRISON W/VIOLENCE (F) 56020,10,1,0.1,1
21966 VC - PEDESTRIAN IN BIKE LANE (I) 54514,10,1,0.1,0
38301.5 VC - VIOL LOCAL ORD 38301 (M) 66887 | 38301.5 VC - VIOL LOCAL ORD 38301 (M) 66887,10,1,0.1,1
602(N) PC - TRESPAS:DRIV ON PRIV PROP (M) 32101 | 602(N) PC - TRESPAS:DRIV ON PRIV PROP (M) 32101,10,1,0.1,1
266H(A) PC - PIMPING (F) 40030,10,0,0.0,0
166(B)(1) PC - CNTEMPT OF COURT:PR 646.9 (M) 50166,10,0,0.0,0
38026.5(B)(2) VC - OPR VEH NONOP STOPLIGHT (I) 66876,10,0,0.0,0
290.018(G) PC - 290 VIOL TRAN 30 DY UPDTE (M) 36210,10,0,0.0,0
24603(C) VC - STOPLAMPS VIOL: MOUNT (I) 66430,10,0,0.0,0
273.5(A) PC - CRPL INJ:SPOUS/COHAB/DATE (M) 38081 | 273.5(A) PC - CRPL INJ:SPOUS/COHAB/DATE (M) 38081,10,0,0.0,0
10 885 US - DESERTION (F) 2052,10,0,0.0,0
273(A) PC - PAY/RCV MONEY FR ADOPTION (M) 38108,10,0,0.0,0
25262 VC - RED LIGHT ARMRD CAR VIOL (I) 66479,10,0,0.0,0
5 100005(A) CA - CA REG:UNAUTH CAMP UNV PR (M) 66162,10,0,0.0,0
33211.6(C) PR - VIOLATION OF POSTED COND (M) 66188,10,0,0.0,0
21752(A) VC - DRIVE LEFT SIDE VIOLATION (I) 66946,10,0,0.0,0
Matched suspect description,10,0,0.0,0
23103(A) VC - RECKLESS DRIVING:HIGHWAY (F) 54002,10,0,0.0,0
487(A) PC - GRDTHFT:MONEY/LABOR/PROP (F) 23132 | 487(A) PC - GRDTHFT:MONEY/LABOR/PROP (F) 23132 | 487(A) PC - GRDTHFT:MONEY/LABOR/PROP (F) 23132,9,6,0.6667,6
11378 HS - POSS CNTL SUB FOR SALE (F) 35138 | 11378 HS - POSS CNTL SUB FOR SALE (F) 35138,9,5,0.5556,5
602(A) PC - TRESP:DESTROY STAND TIMBR (M) 32023 | 602(A) PC - TRESP:DESTROY STAND TIMBR (M) 32023 | 602(A) PC - TRESP:DESTROY STAND TIMBR (M) 32023,9,4,0.4444,4
23220(A) VC - DRNK ALC/MARIJ WHLE DRVNG (I) 42122,9,4,0.4444,4
119(C) BP - DISPLAY ANOTHER'S LICENSE (M) 26125,9,3,0.3333,3
451(C) PC - ARSON:FOREST LAND (F) 20020 | 451(C) PC - ARSON:FOREST LAND (F) 20020,9,3,0.3333,3
640(D)(1) PC - DISTURB/BEHAVIOR:PUB TRAN (M) 53142,9,2,0.2222,2
11360(A) HS - SELL/TRNSP/ETC MARIJUANA (F) 35448,9,2,0.2222,2
459.5(A) PC - SHOPLIFTING AFTR SPEC OFF (F) 23274,9,2,0.2222,2
148.3(A) PC - FALSE REPORT EMERGENCY (M) 53059,9,1,0.1111,1
22435.11(A) BP - UNAUTH RETRIEVL SHOP CART (M) 23149,9,1,0.1111,1
647(F) PC - DISRD CONDUCT:DRUG W/ALC (M) 64006 | 647(F) PC - DISRD CONDUCT:DRUG W/ALC (M) 64006,9,1,0.1111,1
647(F) PC - DISORD CONDUCT:UI/DRUG (M) 35005 | 647(F) PC - DISORD CONDUCT:UI/DRUG (M) 35005,9,1,0.1111,1
594(A)(2) PC - VANDALISM:DAMAGE PROPERTY (M) 29071 | 594(A)(2) PC - VANDALISM:DAMAGE PROPERTY (M) 29071,9,1,0.1111,1
236 PC - FALSE IMPRISONMENT (F) 56016,9,0,0.0,0
5 100011 CA - CA REG:VIOL NUDITY:UNV PR (M) 66168,9,0,0.0,0
36 4.15(A) US - FR:FAIL WEAR SEAT BEAT (M) 54576,9,0,0.0,0
21456.2(B) VC - FAIL OBEY BIKE SIGNALS (I) 54984,9,0,0.0,0
22435.1 BP - TAKE MARKD CART:RETL ESTB (M) 23140,9,0,0.0,0
166(C)(4) PC - VIO PROT ORD:DOMSTIC W/PR (F) 50124,9,0,0.0,0
451(B) PC - ARSON:INHABITED STRUCTURE (F) 20019 | 451(B) PC - ARSON:INHABITED STRUCTURE (F) 20019,9,0,0.0,0
640(B)(2) PC - DISTURB/NOISE:PUB TRANSIT (I) 66204,9,0,0.0,0
14607 VC - ALLOW UNLIC MNR TO DRIVE (I) 54325,9,0,0.0,0
647(B)(1) PC - SOLICT/ENGAG PROSTITUTION (M) 40060 | 647(B)(1) PC - SOLICT/ENGAG PROSTITUTION (M) 40060,9,0,0.0,0
4458 VC - FL NTFY PLATES LOST/STOLN (I) 54776,9,0,0.0,0
647B PC - LOITR ADLT SCH:MOLST PUPL (M) 33025,9,0,0.0,0
36 2.31(A)(1) US - FR:TRESP:ENTER/ETC PROP (M) 4022,9,0,0.0,0
21201.3(B) VC - UNAUTH FLASHING BLU LIGHT (I) 54591,9,0,0.0,0
24411 VC - AUX LMPS NOT COVERD W/DRV (I) 54672,9,0,0.0,0
69(A) PC - OBSTRUCT/RESIST EXEC OFCR (F) 48161 | 69(A) PC - OBSTRUCT/RESIST EXEC OFCR (F) 48161,9,0,0.0,0
25662(A) BP - MINOR POSSESS ALCOHOL (M) 41062 | 25662(A) BP - MINOR POSSESS ALCOHOL (M) 41062,8,7,0.875,7
11351.5 HS - POSS/PUR COKE BASE F/SALE (F) 35254,8,7,0.875,7
11364(A) HS - POSS UNLAW PARAPHERNALIA (M) 35423 | 11364(A) HS - POSS UNLAW PARAPHERNALIA (M) 35423 | 11364(A) HS - POSS UNLAW PARAPHERNALIA (M) 35423,8,5,0.625,5
417.4 PC - BRANDISHING F/ARM REPLICA (M) 52240 | 417.4 PC - BRANDISHING F/ARM REPLICA (M) 52240,8,5,0.625,5
25400(A)(2) PC - CCW ON PERSON (M) 52476 | 25400(A)(2) PC - CCW ON PERSON (M) 52476,8,4,0.5,4
459 PC - BURGLARY (F) 22004 | 459 PC - BURGLARY (F) 22004 | 459 PC - BURGLARY (F) 22004 | 459 PC - BURGLARY (F) 22004,8,4,0.5,4
25800(A) PC - CARRY LOAD F/ARM:COMT FEL (F) 52568,8,3,0.375,3
422(A) PC - THRTN CRIME:INT:TERRORIZE (F) 16049 | 422(A) PC - THRTN CRIME:INT:TERRORIZE (F) 16049 | 422(A) PC - THRTN CRIME:INT:TERRORIZE (F) 16049,8,3,0.375,3
NA - XX AA - CODE NOT FOUND IN TABLE (X) 99999 | NA - XX AA - CODE NOT FOUND IN TABLE (X) 99999 | NA - XX AA - CODE NOT FOUND IN TABLE (X) 99999,8,3,0.375,3
21310 PC - CARRY CON/DIRK OR DAGGER (M) 52565,8,3,0.375,3
3455 PC - PRCS VIOLATION (X) 50176 | 3455 PC - PRCS VIOLATION (X) 50176,8,3,0.375,3
12680 HS - UNSAFE USE OF FIREWORKS (M) 52163,8,2,0.25,2
640(B)(5) PC - SKATEBOARD:PRKG STRUCTURE (I) 66207,8,2,0.25,2
1203.2(A) PC - PROB VIOL:REAREST/REVOKE (X) 50126,8,2,0.25,1
29805(B) PC - POSS OF FIREARM W/MISD (M) 52671,8,2,0.25,1
314(1) PC - IND EXP ILL ENT OCC DWELL (F) 36346,8,1,0.125,1
602(L)(3) PC - TRESP TAMPER W/ GATE LOCK (M) 32141,8,1,0.125,1
602(R) PC - TRESPASS:SKI CLOSED AREA (M) 32107,8,1,0.125,1
23221(B) VC - ALC/MARIJ AS PASSENGR HWY (I) 42125,8,1,0.125,1
11362.3(A)(7) HS - SMOKE MARIJ WHILE DRIVING (M) 55291,8,1,0.125,1
374.3(A) PC - DUMP WASTE ON PUB/PRIV RD (I) 55323,8,1,0.125,0
452(D) PC - CAUSING FIRE OF PROPERTY (M) 20033,8,1,0.125,1
25658(A) BP - SELL/ETC LIQUOR TO MINOR (M) 43029,8,1,0.125,1
314(1) PC - INDECENT EXPOSURE (M) 36343 | 314(1) PC - INDECENT EXPOSURE (M) 36343 | 314(1) PC - INDECENT EXPOSURE (M) 36343,8,1,0.125,1
415(3) PC - OFFENSIVE WORDS IN PUB PL (I) 53151 | 415(3) PC - OFFENSIVE WORDS IN PUB PL (I) 53151,8,0,0.0,0
4001 VC - FL REG EXMPT VEH DISP PLT (I) 54772,8,0,0.0,0
23330(B) VC - UNAUTH USE VEH X BICYCLE (I) 66370,8,0,0.0,0
166(A)(1) PC - CNTMPT:CRT:DISRD/ETC BEHV (M) 50103 | 166(A)(1) PC - CNTMPT:CRT:DISRD/ETC BEHV (M) 50103,8,0,0.0,0
11360(A) HS - SELL/TRNSP/ETC MARIJUANA (M) 35447,8,0,0.0,0
602(Q) PC - TRESPASS:REF LV PUB BLG (M) 32106 | 602(Q) PC - TRESPASS:REF LV PUB BLG (M) 32106,8,0,0.0,0
21223(A)(1) VC - OP MOTORSCTR:DRK HWY:LAMP (I) 54586,8,0,0.0,0
22452(B) VC - BUS/ETC FAIL STOP RR XING (I) 54665,8,0,0.0,0
25106(A) VC - FRONT FENDER/ETC LAMP VIO (I) 54408,8,0,0.0,0
26100(B) VC - USE UNAPRVD LIGHT EQUIP (I) 66520,8,0,0.0,0
25952(B) VC - LMP/RFLCTR LD LIGHTD VIOL (I) 66519,8,0,0.0,0
21213(B) VC - VIOL HELMET REQ CLASS 3 (I) 54952,8,0,0.0,0
22505(B) VC - STOP/PARK/ETC:RESTRICTED (I) 54353,8,0,0.0,0
65002 ZZ - LOCAL ORDINANCE VIOL (I) 65002 | 65002 ZZ - LOCAL ORDINANCE VIOL (I) 65002 | 65002 ZZ - LOCAL ORDINANCE VIOL (I) 65002,8,0,0.0,0
187(A) PC - MRDR:1ST DEG:SHOOT F/VEH (F) 9176,8,0,0.0,0
602.9(B) PC - ENTER RES W/O OWNER CNSNT (M) 32115,8,0,0.0,0
21070 VC - UNSAFE OPR VEH INJ GBI (I) 54941,8,0,0.0,0
647(F) PC - DISORDRLY CONDUCT:TOLUENE (M) 35343,8,0,0.0,0
23152(A) VC - DUI W/PRIORS:PER 23550 VC (F) 42100,8,0,0.0,0
243.3 PC - BAT:TRNSPORT PRSNL/PASNGR (M) 13166,8,0,0.0,0
21100.3 VC - FAIL OBEY TRAFIC REGULATR (I) 54137,8,0,0.0,0
403 PC - DISTURB/ETC ASSEMBLY/ETC (M) 53015,8,0,0.0,0
11352(A) HS - TRANSP/SELL NARC/CNTL SUB (F) 35154 | 11352(A) HS - TRANSP/SELL NARC/CNTL SUB (F) 35154,7,6,0.8571,6
485 PC - APPROPR LOST PROP (M) 23106 | 485 PC - APPROPR LOST PROP (M) 23106,7,4,0.5714,4
466 PC - POSSESS BURGLARY TOOLS (M) 22012,7,3,0.4286,3
247.5 PC - DSCHRG LASER:OCC AIRCRAFT (F) 13160,7,3,0.4286,3
11350(A) HS - POSSESS NARCOTIC CNTL SUB (F) 35152 | 11350(A) HS - POSSESS NARCOTIC CNTL SUB (F) 35152,7,3,0.4286,3
22810(A) PC - UNLAWFL POSS/USE TEAR GAS (M) 52653,7,3,0.4286,3
602(G) PC - TRESP INJ/ETC OYSTER/ETC (M) 32130,7,1,0.1429,1
663 WI - WARRANT OF ARREST:MINOR (X) 8030,7,1,0.1429,0
1551.1 PC - FUGITIVE AREST W/O WARANT (F) 49027,7,1,0.1429,1
496(A) PC - REC KNWN STOLN PROP (F) 28025 | 496(A) PC - REC KNWN STOLN PROP (F) 28025,7,1,0.1429,1
21200.5 VC - RIDE BIKE UNDER INFLUENCE (M) 42089,7,1,0.1429,1
640(B)(1) PC - EAT/DRINK PUB TRANSIT SYS (I) 66203,7,1,0.1429,1
496(A) PC - REC KNWN STOLN PROP (M) 28024 | 496(A) PC - REC KNWN STOLN PROP (M) 28024,7,1,0.1429,1
20170(A) PC - DISPLAY IN PUB:IMT F/ARM (I) 52623,7,1,0.1429,1
10851(A) VC - TAKE VEH W/O OWNER CONSNT (M) 24067 | 10851(A) VC - TAKE VEH W/O OWNER CONSNT (M) 24067 | 10851(A) VC - TAKE VEH W/O OWNER CONSNT (M) 24067,7,1,0.1429,1
20002(A) VC - HIT AND RUN:PROP DAMAGE (M) 54038 | 20002(A) VC - HIT AND RUN:PROP DAMAGE (M) 54038 | 20002(A) VC - HIT AND RUN:PROP DAMAGE (M) 54038,7,1,0.1429,0
38330 VC - OPR VEH UNSAFE CONDITION (I) 66891,7,0,0.0,0
166(C)(1) PC - CONTEMPT:VIOL PROTECT ORD (M) 50112 | 166(C)(1) PC - CONTEMPT:VIOL PROTECT ORD (M) 50112,7,0,0.0,0
558 PC - TRESPASS:CERTAIN UC LAND (M) 33007,7,0,0.0,0
266E PC - PAY FOR PROSTITUTION/ETC (F) 40007,7,0,0.0,0
602 WI - FAIL OBEY ORDER JUV COURT (X) 8008 | 602 WI - FAIL OBEY ORDER JUV COURT (X) 8008,7,0,0.0,0
21660 VC - PASS/YIELD VIOL:MEET VEH (I) 54341,7,0,0.0,0
397 PC - FURN LIQUOR DRUNKARD/ETC (M) 41114,7,0,0.0,0
21717 VC - IMPROP TURN ACROSS BK LN (I) 66261,7,0,0.0,0
21758 VC - UNSAFE PASSING ON GRADES (I) 66270,7,0,0.0,0
25252 VC - WRNING LMP EMERG VEH VIOL (I) 66473,7,0,0.0,0
27000(A) VC - VEHICLE HORN VIOLATION (I) 54451,7,0,0.0,0
368(C) PC - ELDER/DEP ADULT CRUELTY (M) 55226 | 368(C) PC - ELDER/DEP ADULT CRUELTY (M) 55226,7,0,0.0,0
652.5(A) HN - UNAUTH USE:BLUE LIGHT (M) 54551,7,0,0.0,0
24616(B) VC - REAR AUX LAMP VIOL (I) 66448,7,0,0.0,0
22520.5(A) VC - VENDING ON/NEAR FREEWAY (I) 54351,7,0,0.0,0
21952 VC - FAIL YIELD PED ON SIDEWLK (I) 54535,7,0,0.0,0
24603(G)(1) VC - STOPLAMPS VIOL: ACTIVATIO (I) 66432,7,0,0.0,0
27360.5(A) VC - UNBELTED TOT 4+:PARNT VEH (I) 54199,7,0,0.0,0
27315(F) VC - OPR VEH:UNSAFE SEATBELTS (I) 54197,7,0,0.0,0
12950(A) VC - FAIL SIGN DRIVER LIC (I) 54891,7,0,0.0,0
65000 ZZ - LOCAL ORDINANCE VIOL (M) 65000 | 65000 ZZ - LOCAL ORDINANCE VIOL (M) 65000 | 65000 ZZ - LOCAL ORDINANCE VIOL (M) 65000,7,0,0.0,0
23117(A) VC - TRNSPRT OF ANM W/O RSTRNT (I) 66963,7,0,0.0,0
273.5(F)(1) PC - CORP INJ SPOUSE/ETC W/PR (F) 38101 | 273.5(F)(1) PC - CORP INJ SPOUSE/ETC W/PR (F) 38101,7,0,0.0,0
594(A)(3) PC - VANDL:DESTROY OTHRS PROP (F) 29076,7,0,0.0,0
25803(A) VC - LAMP/RFLCTR HD/REAR VIOL (I) 66510,7,0,0.0,0
21706 VC - FOLOW TOO CLOSE:EMERG VEH (I) 54232,7,0,0.0,0
273.5(F)(1) PC - CORP INJ SPOUSE/ETC W/PR (M) 38102,7,0,0.0,0
29800(A)(1) PC - FELON/ETC POSS/ETC F/ARM (F) 52422 | 29800(A)(1) PC - FELON/ETC POSS/ETC F/ARM (F) 52422,6,5,0.8333,5
212.5 PC - ROBBERY (F) 12032,6,4,0.6667,4
32 PC - ACCESSORY AFTER THE FACT (F) 46052,6,4,0.6667,4
245(A)(2) PC - ASLT W/FIREARM ON PERSON (M) 13201 | 245(A)(2) PC - ASLT W/FIREARM ON PERSON (M) 13201,6,4,0.6667,4
23152(F) VC - DUI ANY DRUG (M) 42116 | 23152(F) VC - DUI ANY DRUG (M) 42116,6,3,0.5,2
26709(B) VC - VEH SIDEVIEW MIRROR VIOL (I) 54226,6,3,0.5,3
666.5(A) PC - VEH/ETC THEFT:SPEC PRIORS (F) 24061,6,2,0.3333,2
29610(A) PC - MNR POSS HANDGUN (M) 52849,6,2,0.3333,2
29800(A)(2) PC - POSS/ETC F/ARM 2+CONV 417 (F) 52741,6,2,0.3333,2
594(B)(1) PC - VANDALISM $400 OR MORE (M) 29142 | 594(B)(1) PC - VANDALISM $400 OR MORE (M) 29142,6,2,0.3333,2
288A(C) PC - ORAL COP BY FORCE/FEAR (F) 36275,6,2,0.3333,2
25850(A) PC - CRRY LOAD F/ARM PUB PLACE (M) 52436 | 25850(A) PC - CRRY LOAD F/ARM PUB PLACE (M) 52436,6,2,0.3333,2
490.5(A) PC - PETTY THEFT RETAIL/ETC (M) 23105 | 490.5(A) PC - PETTY THEFT RETAIL/ETC (M) 23105,6,2,0.3333,2
470(A) PC - FORGERY (F) 25064,6,2,0.3333,2
1001.5(A) WI - POSS/ETC C/SUB/ETC:CYA (M) 58028,6,1,0.1667,1
21956(A) VC - PED NOT ON LEFT EDGE ROAD (I) 66950,6,1,0.1667,1
215(A) PC - CARJACKING (F) 23131 | 215(A) PC - CARJACKING (F) 23131,6,1,0.1667,1
22517 VC - VEH DOOR OPEN TO TRAFFIC (I) 54477,6,1,0.1667,1
270 PC - FAILURE TO PROVIDE (M) 38004,6,1,0.1667,1
484(A) PC - THEFT OF PERSONAL PROP (M) 23079,6,1,0.1667,1
27465(B) VC - TIRE TREAD DEPTH VIOL (I) 54205,6,1,0.1667,0
236 PC - FALSE IMPRISONMENT (M) 56008,6,1,0.1667,1
23152(G) VC - DUI ALCOHOL AND DRUG (M) 42117 | 23152(G) VC - DUI ALCOHOL AND DRUG (M) 42117,6,1,0.1667,1
488/666 PC - PET THFT W/PR PT/GT BURG/ (F) 23103 | 488/666 PC - PET THFT W/PR PT/GT BURG/ (F) 23103 | 488/666 PC - PET THFT W/PR PT/GT BURG/ (F) 23103,6,1,0.1667,1
602.6 PC - REF TO LEAV FAIR BLDG/ETC (M) 32132,6,1,0.1667,1
602(R) PC - TRESPASS:SKI CLOSED AREA (M) 32107 | 602(R) PC - TRESPASS:SKI CLOSED AREA (M) 32107,6,1,0.1667,1
498(D) PC - THEFT UTILITY SERV $400+ (F) 23117,6,1,0.1667,1
415(1) PC - FIGHT IN PUBLIC PLACE (M) 53072 | 415(1) PC - FIGHT IN PUBLIC PLACE (M) 53072 | 415(1) PC - FIGHT IN PUBLIC PLACE (M) 53072,6,1,0.1667,0
245(A)(4) PC - ADW/FORCE:POSSIBLE GBI (M) 13218 | 245(A)(4) PC - ADW/FORCE:POSSIBLE GBI (M) 13218,6,1,0.1667,0
451.5(A) PC - AGGRAVATED ARSON (F) 20052,6,1,0.1667,0
135 PC - DESTROY/CONCEAL EVIDENCE (M) 48009,6,1,0.1667,1
278 PC - CHILD STEALING (F) 10008,6,1,0.1667,1
452(C) PC - CAUSE FIRE OF STRUC/FORES (F) 20024,6,1,0.1667,1
166(A)(4) PC - CONTEMPT:DISOBEY CRT ORDR (M) 50106 | 166(A)(4) PC - CONTEMPT:DISOBEY CRT ORDR (M) 50106 | 166(A)(4) PC - CONTEMPT:DISOBEY CRT ORDR (M) 50106,6,0,0.0,0
261(A)(2) PC - RAPE BY FORCE/FEAR/ETC (F) 11055 | 261(A)(2) PC - RAPE BY FORCE/FEAR/ETC (F) 11055,6,0,0.0,0
27314.5(B)(1) VC - REAR SEATBLT WRNING VIOL (I) 66603,6,0,0.0,0
1052(F) FG - ALTER/MUTILATE/ETC LICENS (M) 62139,6,0,0.0,0
24253(A) VC - BATTERY REQ VEH LGHT EQUP (I) 66407,6,0,0.0,0
2800.4 VC - EVADE PO:WRONG WAY DRIVER (F) 48139,6,0,0.0,0
24603(I) VC - STOPLAMPS VIOL: FED SFTY (I) 66434,6,0,0.0,0
1001.5(A) WI - BRING/ETC C/SUB/ETC:CYA (F) 58026,6,0,0.0,0
243(A) PC - BATTERY ON PERSON (M) 13082 | 243(A) PC - BATTERY ON PERSON (M) 13082 | 243(A) PC - BATTERY ON PERSON (M) 13082,6,0,0.0,0
