stop_reason,stops,success,yield,contraband_discoveries
243(E)(1) PC - BAT:SPOUSE/EX SP/DATE/ETC (M) 13174 | 243(E)(1) PC - BAT:SPOUSE/EX SP/DATE/ETC (M) 13174,257,13,0.0506,12
38335 VC - HEADLAMP VIOLATION (I) 54480,256,8,0.0312,7
00IN CUSTODY ARR ZZ - IN CUSTODY ARREST (X) 3,253,81,0.3202,9
22348(B) VC - DRIVE IN EXCESS 100 MPH (I) 54212,253,4,0.0158,2
640(B)(3) PC - SMOKING PROHIBITED AREA (I) 66205,250,22,0.088,21
38312 VC - UNSAFE MOVEMENT OF VEH (I) 66995,244,9,0.0369,7
647(H) PC - LOITER/ETC PRIVATE PROP (M) 32082,240,12,0.05,12
11350(A) HS - POSSESS NARCOTIC CNTL SUB (M) 35422,238,109,0.458,109
243(E) PC - BATTERY:SPOUSE/ETC (M) 13187,238,7,0.0294,6
20002(A) VC - HIT AND RUN:PROP DAMAGE (M) 54038,237,31,0.1308,17
273.6(A) PC - VIOL CRT ORD DOM VIOLENCE (M) 50203,237,15,0.0633,12
38301.5 VC - VIOL LOCAL ORD 38301 (I) 66886 | 38301.5 VC - VIOL LOCAL ORD 38301 (I) 66886,237,13,0.0549,12
22349(B) VC - EXC 55MPH SPEED:2 LANE RD (I) 54395,237,1,0.0042,1
245(A)(1) PC - ADW NOT FIREARM (F) 13219 | 245(A)(1) PC - ADW NOT FIREARM (F) 13219,231,42,0.1818,41
594(B)(1) PC - VANDALISM $400 OR MORE (F) 29143,230,34,0.1478,33
459.5(A) PC - SHOPLIFTING (M) 23273,225,61,0.2711,61
27602(A) VC - OPR VEH WITH TV VISIBLE (I) 54550,224,0,0.0,0
22108 VC - FAIL SIGNAL B/4 TURN VEH (I) 54149,223,21,0.0942,20
38314 VC - UNSAFE TURNING MOVEMENT (I) 54556,216,2,0.0093,0
38301.5 VC - VIOL LOCAL ORD 38301 (M) 66887,215,14,0.0651,13
21950(A) VC - FAIL YIELD TO PED:XWALKS (I) 54398,215,2,0.0093,2
978.5 PC - BENCH WARRANT:FTA:FELONY (F) 66099,214,29,0.1355,29
